id,nombre
1,ofimatica
2,programacion
3,sistemas informacion empresarial
4,sistema informacion y base datos
5,sistema informacion empresarial
6,redes y sistemas informacion
7,redes inalambricas
8,proyectos informaticos
9,procesamiento imagenes
10,negociacion informatica
11,introduccion al procesamiento datos
12,ingenieria interfaces
13,informatica aplicada a ingenieria ambiental
14,herramientas generacion
15,formulacion y evaluacion proyectos
16,diseno grafico
17,desarrollo temario tesis
18,desarrollo sistemas informaticos
19,auditoria sistemas informaticos
20,aplicaciones web
21,aplicaciones informaticas
22,administracion centro informacion
